,date,Energy_Consumption,LaRP,LeRP,LaPF,LePF,Duty,Emissions_Air_Quality_Metric,Date
58,1/1/2018 15:14,3.87,0,19.33,100,19.86,Low,95,1/1/2018
59,1/1/2018 15:30,4.13,0,21.34,100,18.88,Low,108,1/1/2018
60,1/1/2018 15:45,3.66,0,16.81,100,20.94,Low,108,1/1/2018
61,1/1/2018 15:59,4,0,20.47,100,19.01,Low,95,1/1/2018
62,1/1/2018 16:15,3.97,0,20.78,100,18.91,Low,99,1/1/2018
63,1/1/2018 16:30,3.65,0,16.81,100,20.94,Low,92,1/1/2018
64,1/1/2018 16:44,4.11,0,21.66,100,18.47,Low,103,1/1/2018
65,1/1/2018 17:00,3.87,0,19.21,100,19.51,Low,105,1/1/2018
66,1/1/2018 17:15,3.62,0,16.95,100,20.52,Low,104,1/1/2018
67,1/1/2018 17:29,4.09,0,23.49,100,17.17,Low,104,1/1/2018
68,1/1/2018 17:45,3.58,0,17.39,100,20.28,Low,102,1/1/2018
69,1/1/2018 18:00,3.66,0,17.35,100,20.33,Low,100,1/1/2018
70,1/1/2018 18:45,3.61,0,16.24,100,22.04,Low,95,1/1/2018
71,1/1/2018 18:59,4.07,0,22.56,100,17.75,Low,93,1/1/2018
72,1/1/2018 19:15,3.48,0,17.38,100,19.91,Low,107,1/1/2018
73,1/1/2018 19:30,3.92,0,20.74,100,18.26,Low,96,1/1/2018
74,1/1/2018 19:44,3.9,0,20.9,100,18.62,Low,97,1/1/2018
75,1/1/2018 20:00,3.62,0,17.35,100,20.1,Low,95,1/1/2018
76,1/1/2018 20:15,3.98,0,22.55,100,17.61,Low,91,1/1/2018
77,1/1/2018 20:29,3.81,0,19.55,100,18.79,Low,106,1/1/2018
78,1/1/2018 20:45,3.61,0,17.41,100,20.01,Low,99,1/1/2018
79,1/1/2018 21:00,4.25,0,24.25,100,17.09,Low,91,1/1/2018
80,1/1/2018 21:14,3.53,0,17.76,100,19.65,Low,108,1/1/2018
81,1/1/2018 21:30,3.57,0,17.42,100,19.86,Low,107,1/1/2018
82,1/1/2018 21:45,4.27,0,25.19,100,16.62,Low,100,1/1/2018
83,1/1/2018 22:15,3.51,1.45,10.08,92.72,33.29,Low,97,1/1/2018
84,1/1/2018 22:30,3.71,4.21,0,65.71,100,Low,93,1/1/2018
85,1/1/2018 22:44,3.24,3.37,0,69.53,100,Low,108,1/1/2018
86,1/1/2018 23:00,3.5,3.75,0,68.62,100,Low,102,1/1/2018
87,1/1/2018 23:15,3.55,3.42,0,71.82,100,Low,105,1/1/2018
88,1/1/2018 23:29,3.26,2.95,0,73.93,100,Low,96,1/1/2018
89,1/1/2018 23:45,3.6,3.96,0,67.96,100,Low,100,1/1/2018
90,1/1/2018 0:00,3.43,3.48,0,70.29,100,Low,95,1/1/2018
0,1/2/2018 0:30,3.83,4.61,0,64.11,100,Low,95,1/2/2018
1,1/2/2018 0:45,3.26,3.68,0,66.64,100,Low,100,1/2/2018
2,1/2/2018 0:59,3.32,3.62,0,68.12,100,Low,106,1/2/2018
3,1/2/2018 1:15,3.9,4.73,0,63.61,100,Low,109,1/2/2018
5,1/2/2018 1:44,3.53,3.96,0,65.8,100,Low,107,1/2/2018
6,1/2/2018 2:00,3.77,4.81,0,61.71,100,Low,94,1/2/2018
7,1/2/2018 2:15,3.33,3.53,0,68.39,100,Low,103,1/2/2018
8,1/2/2018 2:29,3.57,4.36,0,63.67,100,Low,103,1/2/2018
9,1/2/2018 2:45,3.7,4.41,0,63.85,100,Low,109,1/2/2018
10,1/2/2018 3:00,3.3,3.73,0,66.24,100,Low,106,1/2/2018
11,1/2/2018 3:14,3.66,4.59,0,63.05,100,Low,96,1/2/2018
12,1/2/2018 3:30,3.5,4.03,0,66.2,100,Low,95,1/2/2018
13,1/2/2018 3:45,3.21,3.5,0,68.05,100,Low,108,1/2/2018
14,1/2/2018 3:59,3.95,4.63,0,64.24,100,Low,105,1/2/2018
15,1/2/2018 4:15,3.24,3.44,0,69.22,100,Low,107,1/2/2018
16,1/2/2018 4:30,3.3,3.48,0,68.47,100,Low,106,1/2/2018
17,1/2/2018 4:44,3.89,4.7,0,64.59,100,Low,102,1/2/2018
18,1/2/2018 5:00,3.17,3.44,0,68.76,100,Low,97,1/2/2018
19,1/2/2018 5:15,3.44,3.8,0,67.52,100,Low,92,1/2/2018
20,1/2/2018 5:29,3.71,4.06,0,66.95,100,Low,106,1/2/2018
21,1/2/2018 6:00,3.61,3.95,0,67.97,100,Low,100,1/2/2018
22,1/2/2018 6:14,3.59,3.77,0,68.25,100,Low,100,1/2/2018
23,1/2/2018 6:45,3.73,4.08,0,68.04,100,Low,106,1/2/2018
24,1/2/2018 6:59,3.3,3.34,0,70.7,100,Low,93,1/2/2018
25,1/2/2018 7:15,3.57,3.5,0,71.11,100,Low,101,1/2/2018
26,1/2/2018 7:30,6.32,4.58,0,80.94,100,Low,99,1/2/2018
27,1/2/2018 7:44,6.1,4.78,0,78.39,100,Low,108,1/2/2018
28,1/2/2018 8:00,6.74,4.54,0,82.89,100,Low,97,1/2/2018
29,1/2/2018 8:15,28.95,18.83,0.08,83.9,100,Low,106,1/2/2018
30,1/2/2018 8:29,46.16,28.65,0,84.97,100,Low,100,1/2/2018
31,1/2/2018 8:45,52.12,35.31,0,82.73,100,Low,95,1/2/2018
32,1/2/2018 9:00,56.17,12.54,0.12,97.6,100,Low,107,1/2/2018
33,1/2/2018 9:14,56.78,8.31,0,98.95,100,Average,104,1/2/2018
34,1/2/2018 9:30,51.21,4.53,0.93,99.59,99.98,Average,108,1/2/2018
35,1/2/2018 9:45,48.07,2.33,1.15,99.87,99.97,Average,101,1/2/2018
36,1/2/2018 9:59,52.84,7.05,0.54,99.13,99.98,Average,98,1/2/2018
37,1/2/2018 10:15,54.76,7.52,0.14,99.07,100,Major,100,1/2/2018
38,1/2/2018 10:30,53.17,8.35,0.11,98.79,100,Major,108,1/2/2018
39,1/2/2018 10:44,80.17,32.4,0,92.72,100,Major,93,1/2/2018
40,1/2/2018 11:00,77.52,25.49,0,95,100,Major,106,1/2/2018
41,1/2/2018 11:15,128.58,70.84,0,87.56,100,Major,106,1/2/2018
42,1/2/2018 11:29,144.45,78.48,0,87.87,100,Major,95,1/2/2018
43,1/2/2018 11:45,90.84,54.3,0,85.84,100,Major,92,1/2/2018
44,1/2/2018 12:00,123.27,66.05,0,88.16,100,Major,94,1/2/2018
45,1/2/2018 12:14,19.16,5.53,18.91,96.09,71.31,Average,99,1/2/2018
46,1/2/2018 12:30,8.48,0,25.92,100,31.02,Average,103,1/2/2018
47,1/2/2018 12:45,8.24,0,25.34,100,30.93,Average,105,1/2/2018
48,1/2/2018 12:59,8.05,0,25.5,100,30.04,Average,102,1/2/2018
49,1/2/2018 13:15,79.71,27.3,6.51,94.61,99.68,Average,102,1/2/2018
50,1/2/2018 13:30,97.91,46.82,0,90.22,100,Average,93,1/2/2018
51,1/2/2018 13:44,124.43,49.81,0,92.85,100,Average,103,1/2/2018
52,1/2/2018 14:00,108.63,43.33,0,92.88,100,Average,91,1/2/2018
53,1/2/2018 14:15,123.12,55.26,0,91.23,100,Average,100,1/2/2018
54,1/2/2018 14:45,82.09,27.6,0,94.78,100,Average,93,1/2/2018
55,1/2/2018 15:00,143.91,60.92,0,92.1,100,Average,97,1/2/2018
56,1/2/2018 15:14,86.95,34.27,0,93.02,100,Average,107,1/2/2018
57,1/2/2018 15:30,141.4,62.56,0,91.44,100,Average,101,1/2/2018
58,1/2/2018 15:45,116.55,52.89,0,91.07,100,Average,100,1/2/2018
59,1/2/2018 15:59,129.38,61.17,0,90.4,100,Average,108,1/2/2018
60,1/2/2018 16:15,136.44,56.77,0,92.33,100,Average,102,1/2/2018
61,1/2/2018 16:30,85.71,34.86,0,92.63,100,Average,91,1/2/2018
62,1/2/2018 16:44,147.53,65.26,0,91.43,100,Average,101,1/2/2018
63,1/2/2018 17:00,87,30.79,0,94.28,100,Average,93,1/2/2018
64,1/2/2018 17:15,67.21,25.82,0,93.38,100,Major,103,1/2/2018
65,1/2/2018 17:29,115.75,50.04,0,91.79,100,Major,95,1/2/2018
66,1/2/2018 17:45,113.06,34.64,0,95.62,100,Major,109,1/2/2018
67,1/2/2018 18:00,76.74,11.74,1.03,98.84,99.99,Major,108,1/2/2018
68,1/2/2018 18:14,41.89,15.23,0.13,93.97,100,Major,108,1/2/2018
69,1/2/2018 18:30,37.38,19.93,0,88.24,100,Major,94,1/2/2018
70,1/2/2018 18:45,40.24,8.82,0.49,97.69,99.99,Major,107,1/2/2018
71,1/2/2018 19:15,41.3,6.44,0.45,98.81,100,Major,100,1/2/2018
72,1/2/2018 19:30,36.03,2.52,1.37,99.76,99.92,Major,108,1/2/2018
73,1/2/2018 19:44,39.46,5.28,0.48,99.1,99.98,Major,93,1/2/2018
74,1/2/2018 20:00,38.21,4.69,0.51,99.24,100,Major,100,1/2/2018
75,1/2/2018 20:15,33.18,1.51,3.97,99.92,99.29,Average,109,1/2/2018
76,1/2/2018 20:29,25.92,0,12.12,100,90.54,Average,104,1/2/2018
77,1/2/2018 20:45,10.8,0,23.23,100,42.28,Average,94,1/2/2018
78,1/2/2018 21:00,9.27,0,23.51,100,36.76,Average,107,1/2/2018
79,1/2/2018 21:14,7,0,25.15,100,26.73,Average,99,1/2/2018
80,1/2/2018 21:30,5.13,0,26.51,100,18.95,Average,109,1/2/2018
81,1/2/2018 21:45,5.04,0,26.41,100,18.9,Average,106,1/2/2018
82,1/2/2018 21:59,5.02,0,26.47,100,18.7,Average,102,1/2/2018
83,1/2/2018 22:15,4.9,1.84,15.45,93.7,30.41,Major,102,1/2/2018
84,1/2/2018 22:30,4.68,5.24,0,66.45,100,Major,100,1/2/2018
85,1/2/2018 22:44,4.74,5.17,0,67.04,100,Major,100,1/2/2018
86,1/2/2018 23:00,4.7,5.11,0,67.55,100,Major,95,1/2/2018
87,1/2/2018 23:15,4.55,4.55,0,70.95,100,Low,97,1/2/2018
88,1/2/2018 23:29,4.62,4.26,0,73.22,100,Low,102,1/2/2018
89,1/2/2018 23:45,4.48,4.24,0,72.99,100,Low,103,1/2/2018
90,1/2/2018 0:00,4.6,4.22,0,73.85,100,Low,103,1/2/2018
0,1/3/2018 0:14,4.59,4.62,0,70.72,100,Low,100,1/3/2018
1,1/3/2018 0:30,4.67,4.53,0,71.24,100,Low,108,1/3/2018
2,1/3/2018 0:45,4.55,4.5,0,71.23,100,Low,92,1/3/2018
4,1/3/2018 1:30,4.66,4.58,0,71.26,100,Low,108,1/3/2018
5,1/3/2018 1:44,4.59,4.78,0,69.35,100,Low,108,1/3/2018
6,1/3/2018 2:00,4.51,4.5,0,71.25,100,Low,93,1/3/2018
7,1/3/2018 2:15,4.6,4.39,0,72.4,100,Low,98,1/3/2018
8,1/3/2018 2:29,4.6,4.76,0,69.89,100,Low,94,1/3/2018
9,1/3/2018 2:45,4.6,4.75,0,69.86,100,Low,92,1/3/2018
10,1/3/2018 3:00,4.55,4.74,0,69.34,100,Low,104,1/3/2018
11,1/3/2018 3:14,4.57,5.1,0,67.23,100,Low,105,1/3/2018
12,1/3/2018 3:30,4.58,4.7,0,70.1,100,Low,103,1/3/2018
13,1/3/2018 3:45,4.66,4.69,0,70.71,100,Low,102,1/3/2018
14,1/3/2018 4:15,4.61,4.31,0,72.44,100,Low,103,1/3/2018
15,1/3/2018 4:30,4.59,4.45,0,71.87,100,Low,93,1/3/2018
16,1/3/2018 4:44,4.53,4.31,0,72.66,100,Low,101,1/3/2018
17,1/3/2018 5:00,4.58,4.31,0,72.98,100,Low,109,1/3/2018
18,1/3/2018 5:15,4.52,4.15,0,73.88,100,Low,109,1/3/2018
19,1/3/2018 5:29,4.64,4.2,0,73.55,100,Low,98,1/3/2018
20,1/3/2018 5:45,4.6,4.42,0,71.79,100,Low,94,1/3/2018
21,1/3/2018 6:00,4.62,4.5,0,71.26,100,Low,91,1/3/2018
22,1/3/2018 6:14,4.61,4.61,0,70.94,100,Low,109,1/3/2018
23,1/3/2018 6:30,4.62,4.35,0,72.35,100,Low,91,1/3/2018
24,1/3/2018 6:45,4.65,4.55,0,71.26,100,Low,100,1/3/2018
25,1/3/2018 6:59,4.57,4.28,0,72.76,100,Low,93,1/3/2018
26,1/3/2018 7:15,4.5,4.2,0,72.97,100,Low,101,1/3/2018
27,1/3/2018 7:30,6.09,4.25,0,82.13,100,Low,108,1/3/2018
28,1/3/2018 7:44,7.9,4.68,0,86.11,100,Low,100,1/3/2018
29,1/3/2018 8:00,9.6,4.35,0,91.01,100,Low,107,1/3/2018
30,1/3/2018 8:15,37.01,21.57,0,86.42,100,Low,232,1/3/2018
31,1/3/2018 8:29,74.61,35.86,0,90.13,100,Low,298,1/3/2018
32,1/3/2018 9:00,105.03,31.83,0,95.71,100,Low,430,1/3/2018
33,1/3/2018 9:14,121.73,41.26,0,94.7,100,Average,496,1/3/2018
34,1/3/2018 9:30,114.47,30.22,0,96.68,100,Average,430,1/3/2018
35,1/3/2018 9:45,74.17,21.95,0,95.9,100,Average,298,1/3/2018
36,1/3/2018 9:59,54.39,7.13,0.03,99.16,100,Average,232,1/3/2018
37,1/3/2018 10:15,75.22,25.05,0,94.88,100,Major,298,1/3/2018
38,1/3/2018 10:30,58.03,12.23,0,97.86,100,Major,298,1/3/2018
39,1/3/2018 10:44,67.01,15.09,0,97.56,100,Major,298,1/3/2018
40,1/3/2018 11:00,74.66,31.63,0.05,92.04,100,Major,298,1/3/2018
41,1/3/2018 11:15,57.57,23.9,0,92.35,100,Major,298,1/3/2018
42,1/3/2018 11:29,78.58,48.06,0,85.32,100,Major,364,1/3/2018
43,1/3/2018 11:45,69.19,44.16,0,84.29,100,Major,298,1/3/2018
44,1/3/2018 12:00,73.98,44.78,0,85.56,100,Major,298,1/3/2018
45,1/3/2018 12:14,11.23,0.49,20.45,99.89,48.28,Average,166,1/3/2018
46,1/3/2018 12:30,8.22,0,26.2,100,29.91,Average,91,1/3/2018
47,1/3/2018 12:45,8.19,0,25.56,100,30.34,Average,103,1/3/2018
48,1/3/2018 12:59,7.73,0,25.74,100,28.65,Average,105,1/3/2018
49,1/3/2018 13:15,51.33,21.38,6.08,92.28,99.31,Average,232,1/3/2018
50,1/3/2018 13:30,52.75,13.64,0,96.81,100,Average,232,1/3/2018
51,1/3/2018 13:44,55.77,17.24,0,95.54,100,Average,298,1/3/2018
52,1/3/2018 14:00,57.19,17.32,0,95.7,100,Average,298,1/3/2018
53,1/3/2018 14:29,61.11,20.44,0,94.84,100,Average,298,1/3/2018
54,1/3/2018 14:45,66.77,26.41,0,92.97,100,Average,298,1/3/2018
55,1/3/2018 15:00,55.84,16.42,0,95.93,100,Average,298,1/3/2018
56,1/3/2018 15:14,57.42,18.26,0,95.33,100,Average,298,1/3/2018
57,1/3/2018 15:45,73.16,28.62,0,93.12,100,Average,298,1/3/2018
58,1/3/2018 15:59,69.02,25.8,0,93.65,100,Average,298,1/3/2018
59,1/3/2018 16:15,84.99,27.79,0,95.07,100,Average,364,1/3/2018
60,1/3/2018 16:30,116.6,41.9,0,94.08,100,Average,430,1/3/2018
61,1/3/2018 16:44,118.56,39.08,0,94.98,100,Average,430,1/3/2018
62,1/3/2018 17:00,105.11,35.64,0,94.71,100,Average,430,1/3/2018
63,1/3/2018 17:15,140.55,52.96,0,93.56,100,Major,496,1/3/2018
64,1/3/2018 17:29,113.96,41.15,0,94.07,100,Major,430,1/3/2018
65,1/3/2018 17:45,125.95,39.19,0,95.46,100,Major,496,1/3/2018
66,1/3/2018 18:00,73.62,13.26,1.71,98.43,99.99,Major,298,1/3/2018
67,1/3/2018 18:14,36.27,12.75,0.54,94.33,99.99,Major,232,1/3/2018
68,1/3/2018 18:30,39.78,18.43,0,90.75,100,Major,232,1/3/2018
69,1/3/2018 18:45,37.14,4.17,1.94,99.38,99.84,Major,232,1/3/2018
70,1/3/2018 18:59,42.91,5.46,0.16,99.19,100,Major,232,1/3/2018
71,1/3/2018 19:15,37.95,0.85,1.58,99.97,99.91,Major,232,1/3/2018
72,1/3/2018 19:30,39.73,3.75,0.78,99.56,99.97,Major,232,1/3/2018
73,1/3/2018 19:44,43.23,5.69,0.17,99.16,100,Major,232,1/3/2018
74,1/3/2018 20:00,37.29,1.21,1.67,99.94,99.9,Major,232,1/3/2018
75,1/3/2018 20:15,40.99,5.61,0.55,99.09,99.98,Average,232,1/3/2018
76,1/3/2018 20:29,37.23,2.88,1.23,99.7,99.94,Average,232,1/3/2018
77,1/3/2018 20:45,32.66,2,6.98,99.8,97.82,Average,232,1/3/2018
78,1/3/2018 21:00,9.87,0,23.85,100,38.11,Average,101,1/3/2018
79,1/3/2018 21:14,7.93,0,24.82,100,30.55,Average,107,1/3/2018
80,1/3/2018 21:30,5.43,0,26.82,100,19.9,Average,91,1/3/2018
81,1/3/2018 21:45,5.16,0,26.8,100,18.75,Average,107,1/3/2018
82,1/3/2018 21:59,5.11,0,26.77,100,18.98,Average,108,1/3/2018
83,1/3/2018 22:15,4.92,1.9,15.17,93.36,31.15,Major,106,1/3/2018
84,1/3/2018 22:30,4.77,5.25,0,67.02,100,Major,96,1/3/2018
85,1/3/2018 22:44,4.62,5.14,0,66.93,100,Major,95,1/3/2018
86,1/3/2018 23:00,4.58,4.96,0,68.26,100,Major,95,1/3/2018
87,1/3/2018 23:15,4.73,4.38,0,73.22,100,Low,100,1/3/2018
88,1/3/2018 23:29,4.61,4.25,0,73.52,100,Low,97,1/3/2018
89,1/3/2018 23:45,4.55,4.44,0,71.8,100,Low,97,1/3/2018
90,1/3/2018 0:00,4.61,4.5,0,71.26,100,Low,102,1/3/2018
0,1/4/2018 0:14,4.62,4.58,0,71.01,100,Low,97,1/4/2018
1,1/4/2018 0:30,4.71,4.57,0,71.24,100,Low,107,1/4/2018
2,1/4/2018 0:45,4.57,4.67,0,70.41,100,Low,91,1/4/2018
3,1/4/2018 0:59,4.56,4.79,0,69.35,100,Low,92,1/4/2018
4,1/4/2018 1:15,4.59,4.65,0,70.46,100,Low,102,1/4/2018
5,1/4/2018 1:30,4.56,4.93,0,68.29,100,Low,93,1/4/2018
6,1/4/2018 1:44,4.62,4.65,0,71.01,100,Low,97,1/4/2018
7,1/4/2018 2:00,4.58,4.79,0,69.59,100,Low,91,1/4/2018
8,1/4/2018 2:15,4.56,4.74,0,69.66,100,Low,100,1/4/2018
9,1/4/2018 2:29,4.66,4.9,0,68.75,100,Low,94,1/4/2018
10,1/4/2018 2:45,4.68,4.89,0,68.52,100,Low,109,1/4/2018
11,1/4/2018 3:00,4.7,4.94,0,68.84,100,Low,93,1/4/2018
12,1/4/2018 3:14,4.72,5,0,68.35,100,Low,99,1/4/2018
13,1/4/2018 3:30,4.57,4.87,0,68.82,100,Low,101,1/4/2018
14,1/4/2018 3:45,4.62,4.85,0,68.81,100,Low,98,1/4/2018
15,1/4/2018 3:59,4.72,5.16,0,67.26,100,Low,93,1/4/2018
16,1/4/2018 4:15,4.66,4.74,0,69.86,100,Low,100,1/4/2018
17,1/4/2018 4:30,4.65,4.74,0,70.1,100,Low,107,1/4/2018
18,1/4/2018 4:44,4.62,4.54,0,71.47,100,Low,109,1/4/2018
19,1/4/2018 5:00,4.63,4.63,0,70.47,100,Low,96,1/4/2018
20,1/4/2018 5:15,4.6,4.49,0,71.58,100,Low,105,1/4/2018
21,1/4/2018 5:29,4.71,4.51,0,71.8,100,Low,103,1/4/2018
22,1/4/2018 5:45,4.67,4.38,0,72.43,100,Low,106,1/4/2018
23,1/4/2018 6:00,4.66,4.54,0,71.26,100,Low,108,1/4/2018
24,1/4/2018 6:14,4.63,4.63,0,70.5,100,Low,105,1/4/2018
25,1/4/2018 6:30,4.65,4.81,0,69.35,100,Low,94,1/4/2018
26,1/4/2018 6:45,4.56,4.67,0,69.86,100,Low,99,1/4/2018
27,1/4/2018 6:59,4.68,4.58,0,71.26,100,Low,97,1/4/2018
28,1/4/2018 7:15,4.52,4.6,0,70.16,100,Low,100,1/4/2018
29,1/4/2018 7:30,5.34,4.78,0,74.57,100,Low,92,1/4/2018
30,1/4/2018 7:44,7.12,4.9,0,82.15,100,Low,107,1/4/2018
31,1/4/2018 8:00,7.76,4.68,0,85.79,100,Low,109,1/4/2018
32,1/4/2018 8:15,83.16,51.74,0,84.92,100,Low,364,1/4/2018
33,1/4/2018 8:29,136.25,74.89,0,87.65,100,Low,496,1/4/2018
34,1/4/2018 8:45,108.27,75.83,0,81.92,100,Low,430,1/4/2018
35,1/4/2018 9:00,131.24,53.6,0,92.56,100,Low,496,1/4/2018
36,1/4/2018 9:14,136.03,56.69,0,92.3,100,Average,496,1/4/2018
37,1/4/2018 9:30,128.02,46.23,0,94.07,100,Average,496,1/4/2018
38,1/4/2018 9:45,132.82,53.52,0,92.75,100,Average,496,1/4/2018
39,1/4/2018 9:59,111.55,39.15,0,94.34,100,Average,430,1/4/2018
40,1/4/2018 10:15,124.81,38.94,0,95.46,100,Major,496,1/4/2018
41,1/4/2018 10:30,96.7,30.89,0,95.26,100,Major,364,1/4/2018
42,1/4/2018 10:44,128.78,41.03,0,95.29,100,Major,496,1/4/2018
43,1/4/2018 11:00,78.44,28.93,0,93.82,100,Major,364,1/4/2018
44,1/4/2018 11:15,104.81,59.03,0,87.14,100,Major,430,1/4/2018
45,1/4/2018 11:45,113.18,60.19,0,88.27,100,Major,430,1/4/2018
46,1/4/2018 12:00,128.08,60.55,0,90.4,100,Major,496,1/4/2018
47,1/4/2018 12:14,14.22,3.79,18.79,96.61,60.15,Average,166,1/4/2018
48,1/4/2018 12:30,7.89,0,26.41,100,28.5,Average,92,1/4/2018
50,1/4/2018 12:59,7.58,0.07,26.46,100,27.7,Average,93,1/4/2018
51,1/4/2018 13:15,78.39,21.23,1.19,96.51,99.98,Average,364,1/4/2018
52,1/4/2018 13:30,135.48,51.93,0,93.37,100,Average,496,1/4/2018
53,1/4/2018 13:44,105.13,33.67,0,95.24,100,Average,430,1/4/2018
54,1/4/2018 14:00,120.59,41.4,0,94.58,100,Average,496,1/4/2018
55,1/4/2018 14:15,117.98,41.73,0,94.28,100,Average,430,1/4/2018
56,1/4/2018 14:29,121.86,43.56,0,94.17,100,Average,496,1/4/2018
57,1/4/2018 14:45,121.07,44.36,0,93.89,100,Average,496,1/4/2018
58,1/4/2018 15:00,115.36,38.45,0,94.89,100,Average,430,1/4/2018
59,1/4/2018 15:14,115.47,41.14,0,94.19,100,Average,430,1/4/2018
60,1/4/2018 15:30,101.99,39.06,0,93.38,100,Average,430,1/4/2018
61,1/4/2018 15:45,138.02,51.79,0,93.63,100,Average,496,1/4/2018
62,1/4/2018 15:59,118.98,49.98,0,92.19,100,Average,430,1/4/2018
63,1/4/2018 16:15,144.35,54.94,0,93.44,100,Average,562,1/4/2018
64,1/4/2018 16:30,88.22,28.75,0,95.09,100,Average,364,1/4/2018
65,1/4/2018 16:44,120.01,39,0,95.11,100,Average,496,1/4/2018
66,1/4/2018 17:00,97.64,37.28,0,93.44,100,Average,364,1/4/2018
